sep=;
"Qty";"Value";"Device";"Package";"Parts";"Description";"ASSEMBLE";"AVAILABILITY";"CASE";"DESCRIPTION";"FOOTPRINT";"LINK";"MF";"MFG";"MFG_PN";"MONTHLY_USAGE";"MP";"PACKAGE";"PART_NUMBER";"PART_TYPE";"PRICE";"PROD_ID";"SUPPLIER";"TOLLERANCE";"TYPE";"VALUE";"VENDOR";"VENDOR_PART_NUMBER";
"2";"";"CONN_02LOCK";"1X02_LOCK";"J3, J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_04LOCK";"1X04_LOCK";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";"";"";"";
"1";"";"WE-KIL_0805";"WE-KI_0805_B";"L1";"SMD Wire Wound Ceramic Inductor WE-KIL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0";"R-US_R0402";"R0402";"R45";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.01uF";"C-EUC0603";"C0603";"C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"0.1uF";"C-EUC0603";"C0603";"C1, C2, C5, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.1uF";"C-USC0402";"C0402";"C56, C60";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"0.1uF";"CAP0402-CAP";"0402-CAP";"C48, C50, C52, C64, C65, C66, C67, C69";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.2K";"RESISTOR";"J1-0603";"R8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10000pF";"C-USC0603";"C0603";"C57";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100K";"R-EU_R0603";"R0603";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100K";"R-US_R0402";"R0402";"R42";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100K";"RESISTOR";"J1-0603";"R34, R35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nF";"C0402_100NF_50V_10%";"C0402";"C10";"";"";"";"";"CAP CER  SMD 100nF 25V 10%  0402 ";"C0402";"http://www.digikey.co.il/product-detail/en/C1005X5R1E104K050BC/445-4964-1-ND/2093578";"";"DIGIIKEY";"445-4964-1-ND";"";"";"";"";"C0402";"0.01";"";"";"10%";"";"100nF";"TDK";"C1005X5R1E104K050BC";
"16";"100nF";"CAPACITOR";"1608_0603";"C6, C17, C18, C19, C20, C21, C22, C24, C25, C29, C30, C32, C34, C35, C37, C41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10K";"R-US_R0402";"R0402";"R43";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10K";"RESISTOR";"J1-0603";"R26, R27, R28, R29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10R";"RESISTOR";"J1-0603";"R7, R23, R24, R25, R36, R37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10R, 1/12W, 1%";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10k";"RESISTOR";"J1-0603";"R16, R17, R18, R19, R20, R21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C-USC0402";"C0402";"C61";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uF";"C-USC0603";"C0603";"C54, C55";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"10uF";"CAPACITOR";"1608_0603";"C23, C28, C31, C33, C36, C38, C42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"CAP_POL1206";"EIA3216";"C68";"Capacitor Polarized";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"CPOL-EUSMCA";"SMC_A";"C11";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF/16V";"CAP0402-CAP";"0402-CAP";"C47";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uH";"INDUCTORNR8040";"INDUCTOR_NR8040";"L5";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NDUC-12529";"";"";"";"27uH";"";"";
"1";"12.4K 1%";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"12K";"RESISTOR";"J1-0603";"R30, R32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"18pF";"CAPACITOR";"1608_0603";"C26, C27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1K";"R-US_R0402";"R0402";"R39, R40";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1K1";"R-EU_R0603";"R0603";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"1M";"RESISTOR";"J1-0603";"R15, R38, R48, R49, R50, R51, R52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"CAP0402-CAP";"0402-CAP";"C46";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"220pF/16V";"CAP0402-CAP";"0402-CAP";"C8, C9, C43, C44";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22uF";"C-USC0805";"C0805";"C58, C59";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
